cases,deaths,mortality_rate
2083.0,606,29.092654824771962
2126878.0,299177,14.066486183034478
1266602.0,143355,11.318077817657008
1250044.0,113953,9.115919119646989
13.0,1,7.6923076923076925
202110.0,13875,6.8650734748404325
370.0,25,6.756756756756757
2694729.0,181402,6.731734434149036
21386.0,1347,6.298513045917891
147150.0,9018,6.128440366972477
1770.0,102,5.762711864406779
121575.0,6920,5.691959695661115
9166.0,518,5.651320096006982
92021.0,4739,5.1499114332598
1676.0,83,4.952267303102626
1108269.0,52196,4.709686908142338
1370984.0,64520,4.706108896967433
289.0,13,4.498269896193772
46.0,2,4.3478260869565215
509.0,21,4.12573673870334
49273.0,1971,4.00016236072494
1491788.0,57911,3.881985912207365
984973.0,36677,3.7236553692334717
2258.0,80,3.54295837023915
1815933.0,64170,3.5337206824260585
111361.0,3894,3.4967358410933813
129282.0,4423,3.421203261088164
5814.0,194,3.3367733058135536
101117.0,3336,3.29914851113067
3782.0,123,3.252247488101533
28031.0,908,3.2392708073204663
1494820.0,47624,3.185935430352818
179449.0,5688,3.169702812498259
6066.0,187,3.082756346851302
2440.0,75,3.0737704918032787
617820.0,18819,3.0460328250946875
535740.0,15886,2.9652443349385895
608001.0,17951,2.952462249239722
460743.0,13431,2.915074130263509
124534.0,3625,2.910851654969727
73638.0,2121,2.8803063635622914
41880.0,1205,2.877268385864374
92102.0,2596,2.8186141451868583
76185.0,2124,2.787950383933845
5887.0,162,2.7518260574146423
1425774.0,39053,2.7390736540293203
11246.0,307,2.729859505601992
1498160.0,40766,2.721071180648262
860964.0,23276,2.7034812140809605
148.0,4,2.7027027027027026
4579.0,121,2.642498362087792
1947.0,51,2.6194144838212634
5920.0,155,2.6182432432432434
114359.0,2975,2.6014568158168574
46580.0,1198,2.5719192786603693
283870.0,7130,2.5117131081128683
1397.0,35,2.505368647100931
9565.0,234,2.4464192368008364
14512.0,355,2.4462513781697908
556335.0,13385,2.4059244879434156
292.0,7,2.3972602739726026
320098.0,7514,2.347406106879768
11710.0,273,2.33134073441503
16188.0,371,2.291821102050902
574634.0,12579,2.189045548992924
5353.0,117,2.1856902671399214
7674.0,163,2.1240552514985667
1232.0,26,2.1103896103896105
9295.0,195,2.097902097902098
108342.0,2268,2.093370991859113
431.0,9,2.088167053364269
93582.0,1953,2.0869397961146374
48530.0,1003,2.066762827117247
10780.0,222,2.0593692022263452
17075.0,349,2.0439238653001466
126518.0,2572,2.032912312872477
3251.0,66,2.030144570901261
1135676.0,22864,2.013250257996119
18274.0,367,2.008317828608953
440787.0,8832,2.003688856522538
152.0,3,1.9736842105263157
2250.0,44,1.9555555555555555
449400.0,8733,1.9432576769025367
515.0,10,1.9417475728155338
3206.0,62,1.9338739862757333
6768.0,127,1.8764775413711583
2444.0,44,1.800327332242226
1779.0,32,1.7987633501967397
6879.0,122,1.7735135920918739
113.0,2,1.7699115044247788
2653928.0,46941,1.7687367554809323
25143.0,443,1.7619218072624585
4030.0,71,1.7617866004962779
193007.0,3356,1.7387970384493827
173.0,3,1.7341040462427744
91892.0,1587,1.7270273799677882
900666.0,15247,1.6928583958981465
77674.0,1312,1.6891108994000568
1009.0,17,1.6848364717542121
148682.0,2503,1.683458656730472
962273.0,16199,1.6834100094255997
359888.0,6048,1.6805228293246786
7106.0,118,1.6605685336335492
399609.0,6624,1.6576203238665796
581079.0,9609,1.6536477828315945
1337078.0,21975,1.6435092043994441
5185.0,85,1.639344262295082
612746.0,10034,1.6375463895317146
6049.0,99,1.6366341544056868
73175.0,1197,1.6358045780662793
348744.0,5559,1.5940059183813915
116769.0,1806,1.5466433728129898
154692.0,2361,1.5262586300519743
96314.0,1459,1.5148368876798803
175886.0,2640,1.5009722206429166
11101.0,166,1.4953607783082605
30810.0,453,1.4703018500486855
17638.0,258,1.4627508787844425
275.0,4,1.4545454545454546
9423.0,137,1.4538894195054652
372329.0,5378,1.4444214659615555
179653.0,2585,1.4388849615647943
490533.0,7052,1.4376198950937042
1740.0,25,1.4367816091954022
90779.0,1299,1.4309476861388648
3090.0,44,1.423948220064725
4237.0,60,1.4160962945480293
41426.0,582,1.4049147878144161
320036.0,4400,1.3748453299003862
186277.0,2552,1.370002737858136
25675.0,349,1.3592989289191821
43484.0,587,1.3499218103210375
76.0,1,1.3157894736842104
259614.0,3365,1.29615506097514
4936.0,63,1.2763371150729337
1807.0,23,1.2728278915329274
150947.0,1895,1.2554075271452894
1514.0,18,1.1889035667107
107158.0,1272,1.1870322327777674
126240.0,1471,1.1652408111533588
628.0,7,1.1146496815286624
725.0,8,1.103448275862069
175874.0,1922,1.0928278199165313
7338.0,79,1.076587626056146
5728.0,61,1.0649441340782122
696.0,7,1.0057471264367817
11357.0,110,0.9685656423351237
16536.0,160,0.9675858732462507
40022.0,387,0.9669681675078706
191063.0,1839,0.9625097480935608
41272.0,396,0.9594882729211088
9708.0,92,0.9476720230737536
740.0,7,0.945945945945946
5049.0,46,0.9110714993067934
107177.0,949,0.8854511695606334
132984.0,1175,0.8835649401431752
266432.0,2331,0.8748949075186163
95021.0,825,0.8682291282979551
124657.0,1079,0.8655751381791637
109758.0,941,0.8573406949835092
6659.0,56,0.8409671121790058
357859.0,2999,0.8380395630681359
16954.0,142,0.8375604577090952
18055.0,149,0.8252561617280533
146520.0,1200,0.819000819000819
75094.0,612,0.8149785602045436
27532.0,221,0.802702310039227
160295.0,1263,0.7879222683177891
769.0,6,0.7802340702210664
12704.0,88,0.6926952141057935
248423.0,1698,0.6835115911167646
9330.0,63,0.67524115755627
298.0,2,0.6711409395973155
146218.0,911,0.6230423066927464
53014.0,327,0.6168181989663107
21680.0,133,0.6134686346863469
13420.0,79,0.5886736214605067
15618.0,91,0.5826610321423998
15101.0,78,0.5165220846301569
5557.0,28,0.5038689940615441
83475.0,415,0.4971548367774783
1075.0,5,0.46511627906976744
32790.0,152,0.4635559621835926
89143.0,348,0.39038398976924715
13368.0,48,0.3590664272890485
184949.0,617,0.3336054804297401
3624.0,11,0.30353200883002207
668.0,2,0.29940119760479045
12501.0,37,0.29597632189424844
140961.0,240,0.17025985910996658
729.0,1,0.1371742112482853
766.0,1,0.13054830287206268
58320.0,29,0.04972565157750343
10.0,0,0.0
87.0,0,0.0
711.0,0,0.0
359.0,0,0.0
438.0,0,0.0
19.0,0,0.0
69.0,0,0.0
528.0,0,0.0
19.0,0,0.0
26.0,0,0.0
912.0,0,0.0
4.0,0,0.0
41.0,0,0.0
36.0,0,0.0
187.0,0,0.0
27.0,0,0.0
98.0,0,0.0
17.0,0,0.0
31.0,0,0.0
3.0,0,0.0
1.0,0,0.0
